Feature	Feature_ID	Abbreviation	binary_or_multi	group
Are 1st and 2nd persons conflated in any context?	SAHUL032	12PronConfl	binary	pronouns
Are 2nd and 3rd persons conflated in non-singular numbers?	SAHUL033	23PronConfl	binary	pronouns
Are adjectives classified?	SAHUL2.8.06	AdjectivesClass	binary	classifiers
Are all intransitive verbs marked in the same way for core participants?	SAHUL3.3.13	VerbIntransSame	binary	argument structure
Are all transitive verbs marked in the same way for core participants?	SAHUL3.3.14	VerbTransSame	binary	argument structure
Are any of the spatial demonstratives not speaker-based?	SAHUL2.3.04	DemDistNonSpeaker	binary	deixis
Are benefactive nominals marked on the verb?	SAHUL103	BenMarkedV	binary	argument structure
Are both prefixes/proclitics and suffixes/enclitics absent from verbs?	SAHUL3.1.07	VerbNoPrefixSuffix	binary	order
Are categories such as person, number, gender related to a single participant discontinuously marked on a verb?	SAHUL102	DistributedCategory	binary	argument structure
Are causatives formed by bound affixes/clitics?	SAHUL155	AffixCaus	binary	causatives
Are causatives formed by constructions involving 'say'?	SAHUL156	SayConstCaus	binary	causatives
Are causatives formed by serial verb constructions?	SAHUL154	SerialVCaus	binary	causatives
Are demonstratives classified?	SAHUL038	DemClassifier	binary	classifiers
Are elements apart from verbs or nouns reduplicated?	SAHUL160	OtherRedup	binary	reduplication
Are more than 2 degrees of distance morphologically marked in demonstratives?	SAHUL2.3.02	DemDist2	binary	deixis
Are more than 3 degrees of distance morphologically marked in demonstratives?	SAHUL2.3.03	DemDist3	binary	deixis
Are nouns reduplicated?	SAHUL159	NounRedup	binary	reduplication
Are NPs N-initial (except for articles)?	SAHUL2.1.04	NPNinital	binary	order
Are person categories neutralized under some conditions?	SAHUL034	PersCatNeut	binary	argument structure
Are person, number and any TAM category (i.e. 3 or more categories in all) marked by portmanteau morphemes on verbs?	SAHUL101	Portmanteau3Plus	binary	argument structure
Are relative clauses internally headed?	SAHUL4.3.06	RelativeClauseInternalHead	binary	relative
Are S and A conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?	SAHUL144	SAPivot	binary	syntax_other
Are S and A conflated morphologically in at least some basic constructions, i.e. simple main clauses?	SAHUL142	SAMorphConfl	binary	syntax_other
Are S and O conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?	SAHUL143	SOPivot	binary	syntax_other
Are S and O conflated morphologically in at least some basic constructions, i.e. simple main clauses?	SAHUL141	SOMorphConfl	binary	syntax_other
Are there 'discontinuous noun phrases'?	SAHUL026	DiscontNP	binary	order
Are there (several) verbs which can be used either transitively or intransitively with no morphological marking?	SAHUL112	LabileVerbs	binary	transitivity
Are there adjectives?	SAHUL2.8.01	Adjectives	binary	adjectives
Are there adpositions to mark core NPs?	SAHUL2.9.05x	CoreNPAdpos	binary	argument structure
Are there adpositions to mark core NPs?	SAHUL076	CoreNPAdpos	binary	argument structure
Are there adpositions to mark oblique NPs?	SAHUL077	OblNPAdpos	binary	argument structure
Are there adpositions to mark oblique NPs?	SAHUL2.9.06x	OblNPAdpos	binary	argument structure
Are there affixes on the verb?	SAHUL3.1.01	VerbAffix	binary	argument structure
Are there as many points of articulation for nasals as there are for stops?	SAHUL001	NstopEqNNas	binary	phonology
Are there aspectual auxiliaries?	SAHUL120	AspectAux	binary	TAME
Are there associative plurals?	SAHUL046	AssocPl	binary	number nouns
Are there classifiers that specify a number of units?	SAHUL2.7.05	QuantClass	binary	classifiers
Are there classifiers which aren't numeral or possessive classifiers?	SAHUL2.5.11	ClassifersOther	binary	classifiers
Are there classifiers?	SAHUL2.5.08	Classifiers	binary	classifiers
Are there clitics and satellite particles associated with verbs forming a constituent with the verb on some level?	SAHUL3.1.02	VerbClitics	binary	syntax_other
Are there complement clauses for perception verbs?	SAHUL4.3.09b	ComplementClausePercept	binary	complement
Are there complement clauses for speech verbs?	SAHUL4.3.09a	ComplementClauseSpeech	binary	complement
Are there complement clauses?	SAHUL4.3.09	ComplementClause	binary	complement
Are there conditional non-finite subordinate clauses?	SAHUL4.3.08a	SubordNonFinCond	binary	complement
Are there conjugation classes?	SAHUL111	ConjClasses	binary	classifiers
Are there consonant clusters (not counting prenasalized consonants) in syllable coda?	SAHUL019	CodaCClust	binary	phonology
Are there consonant clusters (not counting prenasalized consonants) in syllable onset?	SAHUL018	OnsetCClust	binary	phonology
Are there consonant clusters?	SAHUL1.2.03	ConsClusters	binary	phonology
Are there contrastive phonation types for vowels?	SAHUL1.1.12	VowelPhonation	binary	phonology
Are there declensions (partly) determined by gender of the noun?	SAHUL040	GenderDecl	binary	classifiers
Are there declensions (partly) determined by number of the noun?	SAHUL039	NumDecl	binary	number nouns
Are there definite or specific articles?	SAHUL020	DefSpecArt	binary	deixis
Are there degrees of distance morphologically marked in demonstratives?	SAHUL2.3.01	DemDist	binary	deixis
Are there different orders of elements in a possessive phrase for different classes of possession?	SAHUL066	DiffOrdPoss	binary	classifiers
Are there different possessive constructions?	SAHUL060	MultPossCons	binary	deixis
Are there fricative phonemes?	SAHUL003	Frics	binary	phonology
Are there indefinite or non-specific articles?	SAHUL2.1.02	IndefArticle	binary	deixis
Are there modal auxiliaries?	SAHUL119	ModalAux	binary	TAME
Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	SAHUL085	MultiTense	binary	TAME
Are there non-verbal predicates?	SAHUL3.7.02	NonVerbalPred	binary	syntax_other
Are there noun classes/genders?	SAHUL050	Genders	binary	classifiers
Are there noun decelensions which are based on something other than number or gender?	SAHUL2.4.04	NounDeclNotGenderNum	binary	number nouns
Are there noun declensions?	SAHUL2.4.01	NounDecl	binary	classifiers
Are there nouns which are suppletive for number?	SAHUL041	SuppletiveN	binary	number nouns
Are there numeral classifiers?	SAHUL057	NumClassif	binary	classifiers
Are there other spatial features marked on demonstratives apart from distance and/or verticality?	SAHUL2.3.06	DemDistOther	binary	deixis
Are there other subordinate clauses apart from relative, purposive, temporal and complement?	SAHUL4.3.10	SubordOther	binary	syntax_other
Are there other types of causative construction?	SAHUL4.4.04	CausOther	binary	causatives
Are there participle or gerund constructions, morphologically separate from RC or subordinate clauses?	SAHUL4.3.11	Participle	binary	syntax_other
Are there phonemic prenasalised stops?	SAHUL004	PrenasStops	binary	phonology
Are there positional (classificatory) verbs?	SAHUL127	PositionialV	binary	classifiers
Are there possessive classes?	SAHUL2.6.01	ClassifersPoss	binary	classifiers
Are there possessive classifiers?	SAHUL058	PossClassif	binary	classifiers
Are there postnominal articles?	SAHUL023	PostnomArt	binary	order
Are there postpositions?	SAHUL075	Postpositions	binary	order
Are there postpositions?	SAHUL2.9.04x	Postpositions	binary	order
Are there prenominal articles?	SAHUL022	PrenomArt	binary	order
Are there prepositions?	SAHUL074	Prepositions	binary	order
Are there prepositions?	SAHUL2.9.03x	Prepositions	binary	order
Are there purposive non-finite subordinate clauses?	SAHUL4.3.07	SubordNonFinPurpose	binary	syntax_other
Are there rare phonemes or phonemes which occur only in loans or phonemes which are obviously recent introductions in the language?	SAHUL1.1.14	RarePhonemes	binary	phonology
Are there relative clauses, i.e. embedded construction by which a clause modifies a head N?	SAHUL4.3.05a	RelativeClauseEmbed	binary	relative
Are there relative clauses?	SAHUL4.3.05	RelativeClause	binary	relative
Are there retroflexed consonants?	SAHUL009	RetroflexC	binary	phonology
Are there self-converse grandparent terms?	SAHUL5.2.04	GrandparentsSelcConv	binary	kinship
Are there serial verb constructions?	SAHUL118	SerialVConst	binary	complex_verb
