Feature	Feature_ID	Abbreviation	binary_or_multi	group
Are 1st and 2nd persons conflated in any context?	32	12PronConfl	binary	pronouns
Are 2nd and 3rd persons conflated in non-singular numbers?	33	23PronConfl	binary	pronouns
Are adjectives classified?	2.8.06	AdjectivesClass	binary	classifiers
Are all intransitive verbs marked in the same way for core participants?	3.3.13	VerbIntransSame	binary	argument structure
Are all transitive verbs marked in the same way for core participants?	3.3.14	VerbTransSame	binary	argument structure
Are any of the spatial demonstratives not speaker-based?	2.3.04	DemDistNonSpeaker	binary	deixis
Are benefactive nominals marked on the verb?	103	BenMarkedV	binary	argument structure
Are both prefixes/proclitics and suffixes/enclitics absent from verbs?	3.1.07	VerbNoPrefixSuffix	binary	order
Are categories such as person, number, gender related to a single participant discontinuously marked on a verb?	102	DistributedCategory	binary	argument structure
Are causatives formed by bound affixes/clitics?	155	AffixCaus	binary	causatives
Are causatives formed by constructions involving 'say'?	156	SayConstCaus	binary	causatives
Are causatives formed by serial verb constructions?	154	SerialVCaus	binary	causatives
Are demonstratives classified?	38	DemClassifier	binary	classifiers
Are elements apart from verbs or nouns reduplicated?	160	OtherRedup	binary	reduplication
Are more than 2 degrees of distance morphologically marked in demonstratives?	2.3.02	DemDist2	binary	deixis
Are more than 3 degrees of distance morphologically marked in demonstratives?	2.3.03	DemDist3	binary	deixis
Are nouns reduplicated?	159	NounRedup	binary	reduplication
Are NPs N-initial (except for articles)?	2.1.04	NPNinital	binary	order
Are person categories neutralized under some conditions?	34	PersCatNeut	binary	argument structure
Are person, number and any TAM category (i.e. 3 or more categories in all) marked by portmanteau morphemes on verbs?	101	Portmanteau3Plus	binary	argument structure
Are relative clauses internally headed?	4.3.06	RelativeClauseInternalHead	binary	relative
Are S and A conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?	144	SAPivot	binary	syntax_other
Are S and A conflated morphologically in at least some basic constructions, i.e. simple main clauses?	142	SAMorphConfl	binary	syntax_other
Are S and O conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?	143	SOPivot	binary	syntax_other
Are S and O conflated morphologically in at least some basic constructions, i.e. simple main clauses?	141	SOMorphConfl	binary	syntax_other
Are there 'discontinuous noun phrases'?	26	DiscontNP	binary	order
Are there (several) verbs which can be used either transitively or intransitively with no morphological marking?	112	LabileVerbs	binary	transitivity
Are there adjectives?	2.8.01	Adjectives	binary	adjectives
Are there adpositions to mark core NPs?	2.9.05x	CoreNPAdpos	binary	argument structure
Are there adpositions to mark core NPs?	76	CoreNPAdpos	binary	argument structure
Are there adpositions to mark oblique NPs?	77	OblNPAdpos	binary	argument structure
Are there adpositions to mark oblique NPs?	2.9.06x	OblNPAdpos	binary	argument structure
Are there affixes on the verb?	3.1.01	VerbAffix	binary	argument structure
Are there as many points of articulation for nasals as there are for stops?	1	NstopEqNNas	binary	phonology
Are there aspectual auxiliaries?	120	AspectAux	binary	TAME
Are there associative plurals?	46	AssocPl	binary	number nouns
Are there classifiers that specify a number of units?	2.7.05	QuantClass	binary	classifiers
Are there classifiers which aren't numeral or possessive classifiers?	2.5.11	ClassifersOther	binary	classifiers
Are there classifiers?	2.5.08	Classifiers	binary	classifiers
Are there clitics and satellite particles associated with verbs forming a constituent with the verb on some level?	3.1.02	VerbClitics	binary	syntax_other
Are there complement clauses for perception verbs?	4.3.09b	ComplementClausePercept	binary	complement
